id;start_date;end_date;language
1;2020-03-23T13:45:00;2020-03-23T11:35:15;SPANISH
2;2020-03-22T18:35:11;2020-03-23T13:39:36;SPANISH
3;2020-03-23T09:30:30;2020-03-22T20:04:39;FRENCH
4;2020-03-23T00:48:01;2020-03-23T12:19:27;FRENCH
5;2020-03-23T10:18:19;2020-03-23T15:05:18;FRENCH
6;2020-03-23T04:10:40;2020-03-23T16:18:54;FRENCH
7;2020-03-23T05:56:00;2020-03-22T23:46:51;FRENCH
8;2020-03-23T04:52:13;2020-03-23T15:08:21;SPANISH
9;2020-03-23T03:33:22;2020-03-23T00:14:45;SPANISH
10;2020-03-23T11:45:26;2020-03-22T22:19:56;SPANISH
